PlayGuid,RunnerId,PitcherId,CatcherId,Lead_Distance,Secondary_Lead_Distance,Plate_Time_y0,Plate_Time_y17,Pop_Time,PickOff_Steal_Exchange
5A608488-E235-425A-97EA-0003A3B68D0B,621028,647336,452095,11.179,24.184,0.423,0.412,2.1,0.689
C70128F9-B974-49C1-94ED-001749E42E65,594809,572888,NA,10.088,20.139,0.441,0.429,NA,NA
D8364138-29AB-4B1A-A420-00193045949D,641829,543699,NA,10.401,19.924,0.463,0.451,NA,NA
7CF7604A-1521-4AB5-9D42-00274C09E0F1,596019,543557,NA,16.059,30.723,0.46,0.448,NA,NA
B2D048D6-DFB3-4272-98C2-002DAF664D59,622682,527048,641598,11.877,22.032,0.437,0.425,2.081,0.876
7ED9A97D-4725-4075-9586-002E3EAFEAB0,673451,622608,NA,11.741,19.865,0.458,0.446,NA,NA
5CB39B55-93E2-46D2-9408-003B39D99D9B,621566,641482,NA,11.174,31.729,0.461,0.449,NA,NA
53C86D0A-36BC-4C00-8248-0044AE279652,596059,502748,455139,10.676,20.073,0.481,0.468,1.987,0.766
38BCBF79-06A1-4130-A68C-00462B9D31EC,606132,677960,NA,10.616,19.857,0.461,0.449,NA,NA
2241FA9A-AC7C-49CC-B212-0053CBC5AEB2,656896,657024,NA,9.98,23.468,0.453,0.441,NA,NA
F1216D9C-EAFA-4560-8B4A-0053E221752D,543877,NA,NA,9.734,14.214,NA,NA,NA,NA
62510EF3-810A-40B1-A826-0054EB6FEE57,595943,669373,NA,9.812,20.588,0.469,0.457,NA,NA
62510EF3-810A-40B1-A826-0054EB6FEE57,624428,669373,NA,15.592,17.774,0.469,0.457,NA,NA
4AC021CE-80C6-4594-9060-005A2A08727F,571970,605195,NA,18.518,19.424,0.499,0.486,NA,NA
4AC021CE-80C6-4594-9060-005A2A08727F,605141,605195,NA,13.302,32.61,0.499,0.486,NA,NA
04DEC677-E958-46C1-9F40-00677C5CE1DB,666211,594577,NA,11.143,18.259,0.413,0.402,NA,NA
54157E93-C810-430E-B447-0069A944761E,666593,689229,676286,16.946,29.264,0.4,0.39,1.542,0.741
39F05FA8-1AFA-4DF1-9F1E-007163083D9B,488726,677976,680777,13.168,15.341,0.45,0.438,2.397,1.127
39F05FA8-1AFA-4DF1-9F1E-007163083D9B,670541,677976,680777,10.254,15.253,0.45,0.438,2.397,1.127
D94BA5E6-B367-4620-BD0D-0075123672CA,672018,689546,680664,11.3,20.719,0.428,0.417,2.096,NA
219FBD01-3B30-4E9B-9619-0076F4E68A47,622534,542888,600474,11.66,15.428,0.415,0.404,2.378,1.063
526E3B9A-6E98-475B-ABAD-007FCB531637,672479,701552,NA,11.244,20.77,0.483,0.47,NA,NA
